Munic_Id;year;MunicOP_OP;UF_Id;Munic_Id6;Munic_Nome;lag.pb;MunicOP_OP.Acum;population;MayorElecNumber;MayorParty;MayorName;ptwin;ChangeEffect2002;VictoryPTAfter2002;LeftParty;continuitypartpref;ContinuityMayor;MayorsVulnerability;legprefpower;MayorControlCouncil;CoalitionPref;LeftShare;BudgetPP;Investpp;InvestPer;taxrevenues;TransferDep;balsheetrev;YearDummies1996;YearDummies2000;YearDummies2004;YearDummies2008;YearDummies2012;YearDummies2016
2402006;2004;0;24;240200;CAIC”;0;0;60266;11;PPB;ROBERTO MEDEIROS GERMANO;0;1;0;0;0;0;0,916511367871785;0,142857142857143;0;0,5;0,285714285714286;826,916803716501;33,0995592865258;0,0388966989158994;0,0853627579818633;0,787268228306187;1,01296067764464;0;0;1;0;0;0
2402006;2008;0;24;240200;CAIC”;0;0;62497;22;PL;RIVALDO COSTA;0;1;0;0;0;0;0,757103517336338;0,4;0;0,6;0,5;1020,32647514679;68,6122732354245;0,0591002790171813;0,0835262939955328;0,923886649999877;0,972334832084738;0;0;0;1;0;0
2402006;2012;0;24;240200;CAIC”;0;0;63571;22;PR;RIVALDO COSTA;0;1;0;0;1;1;0,981131015892626;0,4;0;0,4;0,2;1413,45116034496;61,256989833876;0,0413600176141462;0,0776458072796148;0,929294897007031;0,99695889417343;0;0;0;0;1;0
2402006;2016;0;24;240200;CAIC”;0;0;67747;15;PMDB;ROBERTO MEDEIROS GERMANO;0;1;0;0;0;0;0,646321678321678;0,266666666666667;0;0,466666666666667;0,2;1448,14940569262;36,0433116316604;0,0249545167489777;0,0975438702712659;0,824442815717042;0,878835534356387;0;0;0;0;0;1
2402600;1992;0;24;240260;CEAR¡-MIRIM;0;0;52956;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
2402600;1996;0;24;240260;CEAR¡-MIRIM;0;0;58824;;;;;;;;;;;;;;;433,816646908462;47,3154834024277;0,214328142326859;0,0413657872121528;0,93026354528675;1,0309679682617;1;0;0;0;0;0
2402600;2000;0;24;240260;CEAR¡-MIRIM;0;0;66861;25;PFL;ROBERTO PEREIRA VARELA;0;0;0;0;0;0;0,756743965925225;0,0714285714285714;0;;0,285714285714286;600,480461252022;95,2141967833777;0,149637477150912;0,0513669397120113;0,907566976791345;1,05457077922293;0;1;0;0;0;0
2402600;2004;0;24;240260;CEAR¡-MIRIM;0;0;67692;45;PSDB;MARIA EDINOLIA C¬MARA DE MELO;0;1;0;0;0;0;0,964338523092981;0,142857142857143;0;0,357142857142857;0,0714285714285714;880,999140976744;116,466051699785;0,128317531660243;0,0489413212385435;0,857774662869218;1,00632532080525;0;0;1;0;0;0
2402600;2008;0;24;240260;CEAR¡-MIRIM;0;0;67416;45;PSDB;MARIA EDINOLIA CAMARA DE MELO;0;1;0;0;1;1;0,898908673176335;0;0;0,8;0,2;1187,68314091514;47,3879194553641;0,0372595071238664;0,0918145920525362;0,8549772855697;1,02179740368449;0;0;0;1;0;0
2402600;2012;0;24;240260;CEAR¡-MIRIM;0;0;69005;22;PR;ANTONIO MARCOS DE ABREU PEIXOTO;0;1;0;0;0;0;0,6231100075378;0,2;0;0,4;0,2;1525,0561127769;71,8412367434026;0,0437821750884966;0,0784651952655291;0,874953779457852;1,00278289892105;0;0;0;0;1;0
